Cow_ID,Milking,Parity,six_SLN_conc,six_SLN_yield
5800,1,H,34.44516971,413.3420366
5716,1,H,34.97389034,279.7911227
5769,1,H,45.60704961,501.6775457
5798,1,H,130.2954065,325.7385162
5775,1,H,67.81169233,237.3409232
5749,1,H,87.65622647,525.9373588
5796,1,H,48.42670831,266.3468957
5755,1,H,128.6718515,965.038886
5788,1,H,144.6,867.6
5789,1,H,86.4,604.8
5400,1,MP,102.0234987,102.0234987
5429,1,MP,152.9373368,458.8120104
154,1,MP,74.80490555,448.8294333
5547,1,MP,178.8334599,1073.000759
5170,1,MP,173.2031015,1212.42171
5241,1,MP,129.393162,258.786324
2449,1,MP,140.4,1684.8
5220,1,MP,252,504
5258,1,MP,382.2,1146.6
5512,1,MP,493.2,3945.6
5800,2,H,15.68537859,141.1684073
5716,2,H,10.92493473,120.174282
5769,2,H,19.28851175,173.5966057
5798,2,H,62.49888091,406.2427259
5775,2,H,35.00817796,175.0408898
5749,2,H,41.76560147,187.9452066
5796,2,H,14.04172428,84.25034569
5755,2,H,27.46872647,151.0779956
5788,2,H,43.86,307.02
5789,2,H,66.6,666
5400,2,MP,52.2845953,522.845953
5429,2,MP,93.60313316,795.6266319
154,2,MP,14.61064494,36.52661236
5547,2,MP,168.6447618,1517.802856
5170,2,MP,100.0781015,750.585761
5241,2,MP,47.85162843,287.1097706
2449,2,MP,83.4,1417.8
5220,2,MP,160.2,480.6
5258,2,MP,181.8,1454.4
5512,2,MP,330,3960
5800,3,H,9.321148825,79.22976501
5716,3,H,8.984334204,89.84334204
5769,3,H,14.58877285,116.7101828
5798,3,H,17.23501738,155.1151564
5775,3,H,19.16951981,172.5256783
5749,3,H,10.47653897,83.81231175
5796,3,H,4.052107668,32.41686134
5755,3,H,6.210913969,46.58185477
5788,3,H,14.64,131.76
5789,3,H,23.16,173.7
5400,3,MP,27.08224543,365.6103133
5429,3,MP,33.81853786,321.2761097
154,3,MP,8.699887869,21.74971967
5547,3,MP,84.55715909,803.2930114
5170,3,MP,34.40622647,481.6871706
5241,3,MP,33.49859329,368.4845262
2449,3,MP,21.18,338.88
5220,3,MP,123,861
5258,3,MP,117.6,1411.2
5512,3,MP,120.6,1688.4
5800,4,H,7.885770235,94.62924282
5716,4,H,7.623368146,96.81677546
5769,4,H,9.311357702,83.80221932
5798,4,H,7.717103181,50.16117068
5775,4,H,5.559296166,66.71155399
5749,4,H,5.367163969,53.67163969
5796,4,H,2.741404792,30.15545272
5755,4,H,3.663257719,36.63257719
5788,4,H,7.26,79.86
5789,4,H,12.54,131.67
5400,4,MP,16.27284595,276.6383812
5429,4,MP,18.8381201,226.0574413
154,4,MP,9.402977211,94.02977211
5547,4,MP,41.07936642,636.7301795
5170,4,MP,10.17185147,172.921475
5241,4,MP,12.69987125,152.398455
2449,4,MP,7.02,112.32
5220,4,MP,49.26,788.16
5258,4,MP,43.86,657.9
5512,4,MP,35.46,390.06
5800,5,H,.,.
5716,5,H,7.580287206,69.7386423
5769,5,H,8.580939948,106.4036554
5798,5,H,2.778968483,43.07401148
5775,5,H,2.276548562,22.76548562
5749,5,H,1.985132719,21.63794663
5796,5,H,0.762171565,9.146058786
5755,5,H,2.383570219,.
5788,5,H,3.66,47.58
5789,5,H,6.78,88.14
5400,5,MP,11.06396867,199.151436
5429,5,MP,10.95626632,186.2565274
154,5,MP,8.487513382,110.337674
5547,5,MP,18.74788251,281.2182376
5170,5,MP,6.164038969,104.7886625
5241,5,MP,5.104024601,86.76841821
2449,5,MP,3.396,71.316
5220,5,MP,17.82,213.84
5258,5,MP,18.18,254.52
5512,5,MP,12.6,189
5800,6,H,.,.
5716,6,H,7.272845953,65.45561358
5769,6,H,8.038511749,68.32734987
5798,6,H,1.210299781,14.52359737
5775,6,H,1.028146006,15.4221901
5749,6,H,1.938257719,14.53693289
5796,6,H,0.466005431,6.524076038
5755,6,H,2.102320219,21.02320219
5788,6,H,1.722,19.803
5789,6,H,1.878,24.414
5400,6,MP,8.69843342,165.270235
5429,6,MP,9.272193211,129.810705
154,6,MP,5.156771141,43.8325547
5547,6,MP,5.592359913,100.6624784
5170,6,MP,4.235132719,76.23238894
5241,6,MP,2.635973482,39.53960224
2449,6,MP,2.088,35.496
5220,6,MP,5.646,90.336
5258,6,MP,7.98,127.68
5512,6,MP,7.86,98.25
5800,8,H,.,.
5716,8,H,7.134791123,63.49964099
5769,8,H,7.345300261,66.10770235
5798,8,H,0.728755965,10.20258352
5775,8,H,0.420717891,6.479055527
5749,8,H,0.806226469,5.643585281
5796,8,H,0.261372843,3.920592652
5755,8,H,1.218726469,13.04037322
5788,8,H,1.158,10.5378
5789,8,H,0.2418,3.65118
5400,8,MP,.,.
5429,8,MP,8.418407311,134.694517
154,8,MP,3.926760587,45.15774675
5547,8,MP,2.139242045,29.94938863
5170,8,MP,2.758570219,57.92997459
5241,8,MP,1.528944728,22.93417093
2449,8,MP,1.116,21.204
5220,8,MP,1.92,38.4
5258,8,MP,2.982,59.64
5512,8,MP,3.342,46.788
5800,10,H,.,.
5716,10,H,7.169451697,61.6572846
5769,10,H,7.206266319,68.45953003
5798,10,H,0.648598503,7.653462337
5775,10,H,0.318641214,2.963363291
5749,10,H,0.705445219,5.431928184
5796,10,H,0.213689137,3.419026198
5755,10,H,0.705445219,5.290839141
5788,10,H,.,.
5789,10,H,.,.
5400,10,MP,.,.
5429,10,MP,7.686031332,138.348564
154,10,MP,2.848264751,28.48264751
5547,10,MP,1.079394943,23.74668875
5170,10,MP,2.908570219,72.71425547
5241,10,MP,0.550350479,8.255257188
2449,10,MP,0.702,13.689
5220,10,MP,1.176,22.344
5258,10,MP,1.77,37.17
5512,10,MP,2.148,32.22
5800,12,H,.,.
5716,12,H,7.175130548,60.98860966
5769,12,H,6.853785901,61.68407311
5798,12,H,0.388026133,3.957866559
5775,12,H,0.113529393,1.169352748
5749,12,H,0.663257719,5.505039066
5796,12,H,.,.
5755,12,H,0.417398344,3.33918675
5788,12,H,.,.
5789,12,H,0.1926,1.926
5400,12,MP,.,.
5429,12,MP,7.472584856,127.0339426
154,12,MP,2.244516463,20.20064817
5547,12,MP,1.240629824,29.77511579
5170,12,MP,1.443726469,28.87452938
5241,12,MP,0.430781789,4.738599681
2449,12,MP,0.2736,4.9248
5220,12,MP,0.81,9.801
5258,12,MP,1.542,32.382
5512,12,MP,1.278,21.726
5800,14,H,.,.
5716,14,H,7.09464752,67.39915144
5769,14,H,7.670365535,72.10143603
5798,14,H,0.266862138,2.695307598
5775,14,H,0.11017476,1.255992268
5749,14,H,0.539038969,4.689639028
5796,14,H,.,.
5755,14,H,0.405679594,3.24543675
5788,14,H,.,.
5789,14,H,.,.
5400,14,MP,.,.
5429,14,MP,7.298302872,131.3694517
154,14,MP,1.363297841,14.99627625
